, SignalFeature1_D1, SignalFeature2_D1, SignalFeature3_D1, SignalFeature4_D1, SignalFeature5_D1, SignalFeature6_D1, SignalFeature7_D1, SignalFeature8_D1, SignalFeature9_D1, SignalFeature10_D1, SignalFeature11_D1, SignalFeature12_D1, SignalFeature13_D1, SignalFeature14_D1, SignalFeature15_D1, SignalFeature16_D1, SignalFeature17_D1, SignalFeature18_D1, SignalFeature19_D1, SignalFeature20_D1, NoiseFeature1_D1, NoiseFeature2_D1, NoiseFeature3_D1, NoiseFeature4_D1, NoiseFeature5_D1
DataItem31, 23, 17, 21, 22, 13, 20, 25, 22, 3, 3, 3, 4, 11, 6, 7, 8, 13, 11, 21, 17, 2, 0, 1, 1, 1
DataItem32, 20, 18, 20, 27, 25, 31, 25, 32, 6, 2, 7, 3, 11, 12, 8, 10, 13, 25, 14, 9, 0, 2, 0, 1, 1
DataItem33, 19, 20, 15, 20, 28, 32, 26, 30, 7, 6, 4, 7, 11, 6, 10, 14, 15, 16, 10, 15, 0, 0, 1, 2, 1
DataItem34, 12, 16, 22, 17, 30, 19, 26, 20, 7, 7, 5, 6, 11, 10, 14, 13, 16, 13, 14, 18, 2, 4, 0, 0, 1
DataItem35, 15, 24, 20, 22, 32, 24, 22, 24, 5, 4, 1, 0, 6, 13, 11, 7, 10, 16, 16, 13, 0, 3, 0, 1, 0
DataItem36, 24, 23, 20, 15, 25, 17, 14, 22, 5, 10, 6, 6, 12, 11, 11, 9, 22, 20, 11, 9, 2, 2, 0, 1, 1
DataItem37, 17, 11, 16, 20, 16, 31, 25, 20, 4, 4, 2, 8, 10, 11, 10, 5, 15, 15, 23, 12, 1, 1, 0, 1, 0
DataItem38, 14, 17, 18, 28, 25, 21, 28, 29, 7, 3, 8, 12, 9, 12, 16, 10, 17, 15, 19, 9, 1, 0, 0, 1, 1
DataItem39, 23, 16, 24, 16, 32, 26, 24, 30, 3, 0, 2, 5, 9, 12, 16, 3, 18, 8, 20, 12, 4, 0, 1, 2, 1
DataItem40, 20, 20, 22, 15, 22, 23, 27, 15, 4, 5, 1, 5, 10, 10, 10, 8, 15, 16, 14, 13, 1, 1, 2, 2, 1
DataItem41, 15, 15, 13, 13, 16, 22, 22, 28, 22, 36, 29, 25, 6, 1, 5, 7, 13, 11, 14, 10, 2, 2, 2, 2, 0
DataItem42, 19, 11, 16, 19, 19, 17, 25, 14, 29, 23, 26, 21, 7, 8, 4, 3, 6, 8, 9, 9, 1, 0, 0, 1, 0
DataItem43, 15, 19, 18, 14, 17, 27, 22, 16, 28, 22, 20, 26, 4, 8, 5, 4, 13, 8, 11, 6, 0, 0, 0, 0, 1
DataItem44, 12, 21, 26, 9, 15, 23, 18, 22, 22, 25, 24, 24, 3, 2, 1, 9, 12, 6, 9, 12, 0, 1, 1, 3, 1
DataItem45, 10, 23, 10, 21, 21, 19, 25, 15, 20, 30, 25, 27, 6, 6, 6, 5, 8, 16, 10, 14, 2, 2, 0, 0, 2
DataItem46, 21, 19, 23, 17, 20, 19, 20, 17, 17, 31, 37, 32, 4, 3, 3, 8, 7, 10, 10, 6, 1, 1, 0, 3, 0
DataItem47, 11, 17, 8, 16, 11, 21, 24, 18, 24, 22, 22, 24, 8, 7, 6, 5, 11, 13, 16, 8, 0, 0, 2, 2, 0
DataItem48, 11, 13, 17, 18, 19, 14, 21, 26, 27, 35, 21, 29, 3, 9, 2, 4, 9, 8, 6, 9, 1, 0, 2, 2, 1
DataItem49, 17, 15, 18, 10, 16, 22, 37, 14, 27, 24, 22, 22, 4, 5, 5, 5, 8, 5, 9, 6, 0, 1, 2, 0, 0
DataItem50, 15, 8, 13, 16, 17, 25, 28, 23, 25, 22, 19, 18, 4, 4, 3, 4, 13, 8, 10, 8, 2, 0, 1, 4, 1
DataItem51, 12, 20, 12, 16, 15, 16, 20, 29, 24, 20, 26, 25, 9, 4, 5, 2, 14, 9, 11, 12, 1, 1, 2, 0, 2
DataItem52, 10, 11, 13, 18, 10, 18, 18, 26, 24, 29, 23, 25, 4, 6, 5, 6, 7, 9, 9, 8, 0, 0, 1, 0, 4
DataItem53, 12, 12, 8, 11, 23, 29, 16, 12, 21, 23, 28, 27, 3, 2, 5, 4, 7, 12, 7, 12, 1, 0, 3, 3, 2
DataItem54, 11, 15, 16, 14, 20, 21, 25, 23, 18, 19, 28, 19, 9, 7, 4, 0, 7, 13, 8, 7, 1, 4, 1, 0, 1
DataItem55, 8, 16, 8, 15, 17, 18, 19, 24, 30, 20, 30, 21, 3, 4, 7, 3, 9, 9, 9, 10, 1, 0, 1, 0, 0
DataItem56, 18, 12, 15, 22, 22, 23, 20, 22, 32, 27, 24, 21, 10, 7, 6, 7, 4, 4, 8, 15, 0, 2, 1, 0, 0
DataItem57, 15, 16, 12, 9, 21, 15, 13, 19, 24, 30, 22, 27, 10, 8, 3, 3, 12, 8, 19, 12, 2, 2, 0, 1, 1
DataItem58, 16, 17, 17, 11, 21, 26, 24, 17, 17, 31, 34, 29, 5, 5, 4, 9, 7, 9, 11, 10, 1, 1, 1, 0, 2
DataItem59, 18, 12, 11, 15, 18, 17, 13, 15, 25, 20, 18, 28, 6, 5, 7, 5, 14, 10, 7, 14, 0, 1, 1, 0, 2
DataItem60, 24, 15, 17, 17, 24, 26, 19, 20, 27, 20, 30, 23, 3, 5, 6, 2, 11, 8, 9, 11, 0, 1, 1, 0, 0
DataItem61, 11, 8, 10, 10, 7, 19, 12, 13, 23, 16, 17, 12, 23, 35, 23, 24, 3, 7, 7, 1, 0, 2, 1, 4, 1
DataItem62, 11, 13, 3, 7, 13, 15, 13, 8, 20, 20, 14, 21, 24, 28, 21, 21, 6, 5, 3, 7, 1, 2, 1, 0, 1
DataItem63, 3, 8, 6, 17, 10, 15, 16, 14, 23, 19, 23, 17, 25, 25, 28, 15, 7, 3, 3, 3, 4, 0, 2, 1, 1
DataItem64, 9, 4, 11, 8, 20, 9, 15, 12, 10, 26, 23, 18, 25, 26, 33, 35, 5, 6, 3, 6, 3, 1, 2, 1, 1
DataItem65, 5, 7, 8, 8, 12, 7, 6, 17, 18, 19, 22, 22, 18, 27, 23, 24, 3, 3, 0, 6, 1, 0, 2, 2, 0
DataItem66, 8, 21, 8, 6, 11, 16, 21, 19, 25, 16, 18, 22, 29, 27, 24, 21, 10, 3, 6, 1, 1, 1, 1, 0, 2
DataItem67, 11, 11, 7, 7, 13, 14, 14, 12, 24, 26, 19, 22, 19, 24, 27, 31, 4, 5, 4, 7, 2, 3, 0, 2, 0
DataItem68, 10, 8, 10, 11, 17, 15, 15, 12, 25, 20, 17, 16, 21, 33, 28, 20, 3, 4, 5, 5, 1, 2, 0, 1, 0
DataItem69, 11, 9, 14, 8, 20, 21, 7, 14, 18, 19, 19, 13, 23, 32, 30, 26, 7, 1, 6, 10, 1, 1, 2, 2, 0
DataItem70, 12, 14, 7, 5, 20, 9, 24, 16, 19, 15, 20, 20, 22, 27, 34, 17, 4, 8, 7, 5, 0, 1, 3, 0, 1
DataItem71, 9, 6, 8, 7, 21, 12, 23, 19, 20, 30, 19, 11, 30, 23, 28, 24, 3, 8, 5, 7, 1, 0, 1, 0, 0
DataItem72, 17, 18, 11, 13, 23, 17, 11, 16, 14, 14, 20, 19, 31, 26, 27, 28, 2, 3, 6, 2, 0, 2, 2, 0, 0
DataItem73, 16, 11, 5, 3, 26, 17, 15, 15, 20, 22, 14, 20, 27, 20, 20, 26, 6, 3, 3, 7, 1, 1, 2, 1, 1
DataItem74, 12, 8, 10, 14, 13, 9, 16, 8, 14, 20, 14, 22, 16, 21, 24, 23, 2, 5, 3, 3, 1, 0, 2, 0, 3
DataItem75, 10, 11, 9, 13, 18, 15, 14, 18, 12, 12, 23, 12, 14, 25, 31, 30, 4, 6, 7, 6, 1, 0, 2, 3, 1
DataItem76, 5, 10, 13, 10, 19, 9, 15, 22, 22, 22, 16, 27, 15, 25, 32, 24, 8, 2, 7, 7, 2, 0, 1, 1, 1
DataItem77, 9, 9, 8, 8, 15, 16, 12, 12, 22, 23, 16, 15, 22, 26, 22, 17, 12, 1, 4, 6, 2, 0, 0, 1, 0
DataItem78, 5, 10, 8, 6, 12, 9, 21, 11, 25, 18, 17, 18, 26, 19, 23, 25, 4, 7, 5, 8, 1, 1, 2, 0, 3
DataItem79, 6, 8, 9, 11, 17, 19, 19, 10, 20, 17, 13, 26, 23, 24, 28, 30, 5, 5, 6, 5, 1, 2, 2, 1, 2
DataItem80, 8, 8, 10, 9, 14, 12, 17, 27, 9, 30, 27, 21, 24, 18, 19, 31, 6, 4, 6, 4, 5, 1, 0, 2, 0
DataItem81, 3, 6, 7, 1, 8, 13, 10, 8, 12, 17, 22, 22, 27, 14, 13, 14, 26, 25, 34, 31, 0, 0, 2, 2, 1
DataItem82, 5, 4, 2, 6, 13, 8, 14, 8, 19, 11, 15, 9, 16, 24, 20, 20, 21, 27, 29, 17, 1, 1, 1, 0, 0
DataItem83, 10, 5, 3, 2, 10, 12, 4, 8, 18, 11, 13, 13, 20, 21, 22, 23, 29, 25, 32, 30, 0, 2, 0, 1, 2
DataItem84, 8, 5, 8, 4, 12, 11, 9, 11, 17, 18, 22, 14, 16, 25, 20, 24, 30, 23, 24, 30, 0, 0, 0, 1, 1
DataItem85, 3, 9, 6, 6, 8, 6, 12, 10, 15, 17, 17, 13, 21, 20, 19, 24, 32, 31, 21, 26, 0, 3, 2, 0, 1
DataItem86, 7, 6, 7, 5, 9, 7, 9, 7, 11, 15, 12, 14, 15, 23, 18, 15, 19, 22, 23, 34, 1, 0, 1, 3, 1
DataItem87, 8, 1, 2, 4, 8, 10, 5, 7, 17, 16, 6, 12, 17, 17, 18, 14, 23, 18, 18, 27, 2, 3, 0, 2, 1
DataItem88, 3, 4, 5, 6, 13, 9, 13, 7, 14, 11, 14, 13, 17, 19, 13, 15, 16, 21, 28, 23, 0, 1, 0, 1, 3
DataItem89, 5, 4, 4, 4, 13, 10, 9, 10, 19, 14, 12, 14, 22, 15, 22, 15, 38, 28, 23, 20, 0, 1, 0, 2, 1
DataItem90, 3, 6, 3, 3, 5, 10, 13, 10, 10, 14, 18, 13, 26, 21, 19, 16, 14, 14, 30, 25, 1, 0, 2, 1, 0
DataItem91, 7, 3, 7, 8, 7, 12, 14, 8, 9, 27, 11, 16, 20, 21, 18, 20, 28, 17, 31, 28, 0, 1, 1, 1, 3
DataItem92, 9, 2, 5, 5, 8, 6, 9, 10, 13, 12, 14, 19, 21, 23, 23, 12, 25, 30, 24, 29, 2, 0, 1, 0, 0
DataItem93, 7, 7, 4, 5, 6, 4, 9, 6, 14, 10, 17, 14, 18, 21, 26, 20, 31, 18, 28, 26, 1, 1, 0, 2, 1
DataItem94, 3, 3, 8, 3, 10, 5, 11, 15, 13, 8, 14, 19, 20, 21, 18, 19, 21, 35, 25, 21, 3, 2, 1, 0, 0
DataItem95, 3, 4, 2, 5, 8, 10, 9, 9, 17, 15, 17, 6, 17, 27, 20, 21, 28, 28, 19, 16, 2, 2, 0, 2, 3
DataItem96, 8, 7, 5, 10, 13, 6, 6, 9, 10, 11, 16, 16, 21, 19, 21, 13, 29, 28, 23, 28, 1, 1, 0, 0, 4
DataItem97, 5, 3, 8, 8, 9, 1, 12, 15, 21, 13, 15, 14, 21, 20, 20, 17, 26, 26, 31, 23, 3, 1, 1, 0, 0
DataItem98, 6, 1, 6, 6, 15, 17, 10, 5, 14, 14, 9, 13, 25, 11, 20, 18, 20, 25, 23, 26, 0, 2, 0, 1, 0
DataItem99, 5, 4, 3, 7, 11, 14, 8, 5, 12, 20, 14, 23, 29, 24, 12, 16, 26, 31, 27, 21, 0, 4, 1, 1, 0
DataItem100, 5, 8, 7, 9, 12, 12, 5, 9, 13, 6, 14, 17, 26, 23, 26, 17, 31, 31, 25, 29, 1, 0, 0, 1, 3
