,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
YKL152C,-0.204567128,-0.364124926,0.045743536,-0.116051991,0.071764085,-0.438776192,-0.265050676,-0.372990232,-0.26106184,1.132076089,0.115868358,0.104885271,-0.233189574,0.160201385,0.03514273,0.377265891,0.212865213
YLR044C,-0.194783122,-0.346179068,0.102094417,-0.122408754,-0.022973383,-0.341710785,-0.162589469,-0.19941276,-0.339484108,1.074990397,0.24473749,0.022647451,-0.17195108,0.112622328,-0.038984181,0.271895123,0.111489504
YOL086C,-0.218246231,-0.182773818,0.048021747,-0.203615392,-0.053518982,-0.432768248,-0.344539956,-0.320581768,-0.23234665,1.198708128,0.440033313,-0.074359648,-0.221198262,0.138133902,-0.025782227,0.303280954,0.18155314
YJR123W,-0.321434903,-0.419084897,0.061761618,-0.057170975,0.227919751,-0.352937166,-0.230834469,-0.150791761,-0.312486298,1.083780445,0.196020381,0.039142528,-0.247391139,0.172438857,-0.146254892,0.257826133,0.199496785
YKR057W,-0.237456991,-0.21828943,0.099599901,-0.252077682,0.129437236,-0.487283877,-0.49255335,0.051991292,-0.249437666,1.076602767,-0.025315309,0.061971968,-0.289788961,0.317629442,0.001416309,0.393703923,0.119850429
YKR094C,-0.142410434,-0.209391448,0.091354376,-0.021898339,0.183161925,-0.299615163,-0.905750967,0.00899417,-0.424708108,1.156081486,0.235277926,0.057059781,-0.360393359,0.253410235,0.028902944,0.244894368,0.105030609
YLR029C,-0.088977568,-0.510578908,0.259775035,-0.173006494,0.104930633,-0.385969907,-0.225361342,-0.113136765,-0.410067459,1.059124461,0.057804593,0.027275388,-0.316271817,0.290792834,0.038215328,0.258783856,0.126668132
YLR061W,-0.274333742,-0.269100867,-0.084983198,-0.068050665,0.038987441,-0.352891019,-0.303794612,0.018320211,-0.305236574,1.016807825,0.099747418,-0.011081987,-0.203779772,0.144450227,0.045613357,0.359368604,0.149957354
YLR075W,-0.239647207,-0.082548998,0.025927807,-0.092039475,0.134084704,-0.462670631,-0.382489333,-0.044276452,-0.308777384,1.027225944,0.0539042,0.052469994,-0.228655459,0.086682465,-0.171840366,0.39052998,0.24212021
YLR167W,-0.174812405,-0.345565061,0.065903298,-0.175984509,0.140405825,-0.417573127,-0.315902836,-0.262924811,-0.351138694,1.196929093,0.117058461,0.015869266,-0.196921478,0.085356799,-0.017264813,0.342008487,0.294556505
YLR287C-A,-0.110586542,-0.148908152,0.188189769,-0.021878316,0.169777887,-0.420773414,-0.361700208,-0.400848656,-0.267787078,1.07060591,-0.02703629,-0.026390086,-0.192563657,0.110164832,-0.238611589,0.347576355,0.330769236
YLR325C,-0.180968147,-0.167309398,0.164213364,-0.118150162,0.158633252,-0.259266034,-0.245550328,-0.262102916,-0.362896854,1.078136352,0.142888596,-0.08102503,-0.32967634,0.125205937,-0.138026593,0.276597613,0.199296689
YLR340W,-0.550796946,-0.126849994,0.177413588,-0.016882273,0.10010793,-0.229030856,-0.248022525,-0.358120963,-0.165815962,0.985293826,0.008471198,0.022740715,-0.106880859,0.207496844,-0.12738092,0.323928071,0.104329126
YLR441C,-0.233022393,-0.123220246,-0.205838284,-0.100219936,-0.096052299,-0.425249767,-0.393019489,0.008707297,-0.386819841,1.028559174,0.143590252,-0.039022256,-0.199668598,0.391586048,0.101631248,0.314942777,0.213116314
YML026C,-0.210062639,-0.305439222,0.216211455,-0.1513929,0.193186647,-0.326104164,-0.093608508,-0.155471337,-0.337730022,0.900868327,0.157508896,-0.041502895,-0.330963079,0.227849518,-0.178687517,0.235958824,0.199378617
YML063W,-0.268656716,-0.102583023,0.057087321,-0.183770738,0.270822201,-0.322788277,-0.238991106,-0.380666063,-0.308224913,1.210074828,0.183381046,0.044466203,-0.243498156,-0.053769505,-0.325236258,0.376452768,0.285900389
YNL069C,-0.420566441,-0.083941754,0.055289825,-0.213994882,-0.035587225,-0.494756512,-0.290643472,-0.319162515,-0.158284275,0.910607731,0.377834526,-0.021167364,-0.089291404,0.225603232,0.085981101,0.273114215,0.198965216
YNL178W,-0.167943639,-0.176552013,0.152659913,-0.057900228,0.110306336,-0.390067302,-0.222895605,-0.286083881,-0.40858635,0.930396504,0.369384805,-0.100857346,-0.217305395,0.117695532,-0.038348555,0.250766696,0.135330528
YNL302C,-0.350569072,-0.072630013,0.067937122,-0.233581898,-0.00958945,-0.476966071,-0.339296334,-0.35295856,-0.208941071,1.012027855,0.358559508,0.140248653,-0.236239354,0.099624471,-0.005355744,0.440813059,0.1669169
YOL039W,-0.316550895,0.109307077,-0.205186253,-0.152712182,-0.017053009,-0.428211664,-0.250626646,-0.235411629,-0.278712745,0.806586495,0.295760871,0.149217683,-0.21946541,0.045918113,0.089794263,0.638594763,-0.031248831
YOL040C,-0.213876746,-0.044819723,-0.40369812,-0.139396496,0.109854873,-0.438977033,-0.2385042,-0.270626392,-0.291063703,1.011201052,0.373765107,0.155617503,-0.268789001,0.075324589,0.058925402,0.443899815,0.081163074
YOL121C,-0.162772483,-0.019142925,0.135931222,-0.12927543,0.007971974,-0.391414088,-0.392587797,-0.246945656,-0.351178776,0.90519938,0.378476884,-0.100365256,-0.297971821,0.076020261,0.023972315,0.324349307,0.239732891
YOL127W,-0.309114933,-0.090942394,0.21932327,-0.194458912,0.147367949,-0.371342078,-0.181281561,-0.188947231,-0.409437655,0.81089219,0.303386741,0.07547259,-0.346156205,0.141855401,0.028832013,0.202371629,0.162179186
YOR063W,-0.37314548,-0.214106654,-0.088767012,-0.200693636,0.052346418,-0.414443988,-0.347959607,-0.322556039,-0.09740781,0.991590095,0.478290058,-0.008062709,-0.08744426,0.151307189,0.059219298,0.23323016,0.188603977
YOR167C,-0.126729779,0.056469906,0.257169099,-0.125600899,0.090371458,-0.425517468,-0.376485612,-0.303344758,-0.372626466,1.108343217,0.223258703,-0.195695758,-0.370702464,-0.028207349,-0.090859785,0.526669441,0.153488514
YOR182C,-0.257692829,-0.081403994,0.071494765,-0.219495358,0.097794326,-0.404746247,-0.289533434,-0.273486409,-0.296419836,1.045209601,0.344810381,-0.043133021,-0.266755614,0.146188246,0.002916665,0.208564476,0.215688281
YOR234C,-0.191902656,0.032222119,0.173347641,-0.220417826,0.025423023,-0.265015688,-0.158551605,-0.157257665,-0.332535124,0.909086696,0.200537341,-0.085338046,-0.320791308,0.054790072,-0.081734438,0.293982668,0.124154795
YOR293W,-0.134273733,0.026807213,0.33389537,-0.000522423,0.254036266,-0.350840717,-0.168883393,-0.229583913,-0.502324406,1.056176973,0.335729896,-0.40547458,-0.335661532,-0.029675972,-0.174973546,0.177600147,0.147968349
YOR369C,-0.306296623,-0.294391721,0.031640994,-0.162340713,0.110791578,-0.690601399,-0.373519096,-0.377185462,-0.293546769,1.248104108,0.523371489,-0.022256761,-0.233717376,0.23817389,0.097741748,0.125341359,0.378690753
YPL081W,-0.277466149,-0.076463724,0.050234675,-0.2036189,-0.00518491,-0.359183007,-0.470059257,-0.260278933,-0.126187159,0.927783212,0.174353068,0.1358754,-0.208716617,0.051548736,-0.083954396,0.689004118,0.042313842
YPL090C,-0.350313626,-0.278903749,0.265160517,-0.072466232,0.208590165,-0.44349085,-0.315345028,-0.278241278,-0.276917651,1.03295124,0.529002978,-0.167992069,-0.239912455,0.134263015,-0.082217122,0.065301457,0.270530687
YPL143W,-0.277685843,-0.001336818,0.228830927,-0.086389424,0.037863662,-0.47905026,-0.28324914,-0.367601446,-0.344353305,1.136307331,0.353231753,0.008608304,-0.348810964,0.016907107,-0.04818253,0.379812601,0.075098045
YPL220W,-0.222724169,-0.204032036,0.254664523,-0.006070635,0.104269324,-0.51671541,-0.304846756,-0.360500214,-0.302654574,1.093806905,0.493404873,-0.141231134,-0.200730613,0.100862166,0.017522953,0.009542065,0.185432731
YPR102C,-0.431509029,-0.094704622,0.166048863,-0.213401393,0.066584724,-0.3785195,-0.167357454,-0.160594659,-0.460291389,1.039254721,0.317050856,-0.234948248,-0.33029664,0.219118981,0.02973542,0.51573939,0.11808998
YPR132W,-0.327550118,-0.282355786,0.053155374,-0.104205581,0.072877197,-0.366489463,-0.292978773,-0.26804939,-0.2891028,1.026573994,0.557504023,-0.182775633,-0.174117571,0.184280027,0.174594721,-0.092219821,0.3108596
YDR380W,-0.153540523,-0.591936309,-0.650379905,-0.860872339,-0.673800179,-0.757800154,-0.872366718,-0.925791885,-0.342078545,0.196917955,0.513927643,0.636196428,0.665183965,1.066915403,0.846469789,1.021858909,0.881096466
YNR019W,0.288218625,-0.422628133,-1.046782442,-1.080683994,-0.810393664,-0.892631762,-0.759100369,-0.320845439,0.380333914,0.722504171,0.562655471,0.396207263,0.500780067,0.633424541,0.521833476,0.633424541,0.693683733
YDR019C,-0.156917894,-0.272935704,-0.524250132,-0.560617776,-0.950334528,-0.386264389,-0.33430465,-0.571256175,-0.417869729,0.032445946,0.119213628,0.242640522,0.430083225,0.771315375,0.713828284,0.985480191,0.879743806
YBR183W,0.683174478,-1.122378313,-1.004595278,-0.33014023,-0.471790747,-0.550928068,-0.950528056,-0.408611846,0.056276683,0.215906829,0.519849422,0.426955675,0.543754943,0.400048222,0.519849422,0.623191773,0.849965093
YGL089C,-1.027944064,0.280572596,0.007489323,-0.55031651,-1.174189564,-0.633881588,-1.198095085,-0.981424048,-0.243825105,0.761545257,0.844381262,0.747815064,0.334252746,0.473863184,0.617569905,0.717403363,1.024783265
YKL178C,-0.317436578,-0.135115021,-0.560782837,-0.941057696,-0.941057696,-1.034876451,-0.869084196,-0.657113945,0.069185442,0.359581221,0.799670293,0.600452875,0.40720927,0.157554593,0.941024412,0.751403552,1.370442761
YBR038W,-0.704441233,-1.062653457,-0.602311738,-0.416759161,-0.288280836,0.035958832,0.826744482,0.824416192,0.836003807,0.205376984,-0.022104969,-0.424856371,-0.016684902,-0.200088124,0.432840196,0.429385961,0.147454336
YDR146C,-1.304807652,-0.982604385,-0.494796131,-0.509611217,-0.322945874,0.190970942,0.351450757,0.28121782,0.306281789,0.190970942,0.037128857,-0.222862416,0.00642469,0.742085085,0.510097847,0.830873608,0.390125337
YGL116W,-0.745793064,-0.719124816,-0.572521342,-0.59551086,-0.464890678,-2.15E-06,0.743155452,1.059389426,0.852775177,0.120625838,-0.052645883,-0.405467258,-0.313659708,-0.262366414,0.306728118,0.422412517,0.626895646
YGR092W,-0.606666215,-0.45885671,-0.436214233,-0.54656229,-0.216060221,0.073117738,0.43738709,0.582148029,0.59553511,0.279074073,0.073117738,0.008280219,-0.216060221,-0.135557002,-0.076558661,0.321937778,0.321937778
YGR108W,-1.328353778,-0.39989251,-0.720364406,-0.698385499,-0.21622777,0.442786404,0.748533484,0.60287182,0.557478247,-0.157579043,-0.322334276,-0.391860339,-0.222961802,0.378247883,0.608771542,0.60287182,0.516398222
YIL106W,-0.82206089,-0.514094147,-0.642475313,-0.5384856,-0.12891371,0.324560618,0.620024831,0.518103699,0.723057056,0.154661581,0.064277519,-0.188002626,-0.307961941,0.07770054,0.492015263,0.116921253,0.050671867
YMR001C,-1.133533997,-0.924442199,-1.099244923,-0.550928691,-0.198809563,0.317480555,0.720217149,0.812376152,0.585904811,-0.115610619,-0.198809563,-0.279613596,0.192862223,0.199016088,0.487464738,0.618694634,0.566976801
YPR119W,-0.987602039,-0.446795583,-0.705369572,-0.532656874,0.047437445,0.342811863,0.682971873,0.80777407,0.535614698,-0.045558811,-0.289034791,-0.49211078,-0.124895554,0.077858042,0.390506737,0.348542538,0.390506737
YMR170C,0.728854738,0.37918099,0.002371138,-0.203965295,-0.25745398,-0.123922588,-0.104874393,-0.279677117,-0.36159424,0.035707558,-0.032115039,-0.163143301,-0.104874393,0.083716777,0.173328936,0.091498917,0.136961292
YGR043C,1.302580054,0.814227286,0.331801137,0.083339777,-0.361346044,-0.489179415,-0.284385003,-0.361346044,-0.024873807,-0.284385003,-0.212926039,-0.179024487,-0.284385003,-0.053861344,0.133350198,0.083339777,-0.212926039
YGR248W,1.614759118,0.596189537,-0.071639836,-0.42831478,-0.42831478,-0.42831478,-0.12293313,-0.502422752,-0.234158765,-0.071639836,0.151503715,-0.022849672,-0.359321908,0.151503715,-0.022849672,0.068122106,0.110681721
YOR120W,1.336639327,0.334756665,-0.081403732,-0.234479721,-0.397441031,-0.062233816,-0.161984219,-0.127616575,0.03422645,-0.127616575,-0.176068959,-0.397441031,-0.068583044,-0.068583044,-0.012841061,-0.006835037,0.217505403
YMR271C,0.784838443,0.776327754,0.021487004,0.233661524,-0.618550351,-0.48933862,-0.224646065,-0.348260021,0.074596829,-0.402327243,-0.201656547,0.03950551,0.091691263,0.318218912,0.233661524,-0.43049812,0.141288204
YDR058C,0.869707728,0.501382167,0.293742802,0.149161573,-0.63707603,-0.239774233,0.031378538,-0.36166405,-0.073981978,-0.239774233,-0.116541592,-0.176260827,-0.060188656,-0.073981978,0.137988273,0.05607115,-0.060188656
YDL174C,0.701457879,0.319694883,-0.052544577,-0.125747981,-0.227832108,-0.256270043,-0.518634307,-0.295490756,-0.109011189,-0.113169199,0.000903257,0.004613836,-0.014078297,0.123219579,0.126503654,0.303345745,0.133039625
YOR040W,0.899191499,0.563984285,0.140661559,-0.334762137,-0.271583236,-0.356741044,-0.08586609,-0.05252967,-0.212159815,-0.212159815,-0.313255932,0.127055907,-0.251380528,-0.138051843,0.026251208,0.290943763,0.180401888
YFL044C,0.90245642,0.251156349,-0.33335699,-0.276198576,-0.527513005,-0.363209953,0.032102783,0.110574399,0.091526204,-0.276198576,0.110574399,-0.053055025,0.052305491,-0.196155869,-0.053055025,-0.031076118,0.559123093
YOL055C,0.826779921,0.403510188,-0.089510811,0.030448504,-0.203624117,-0.004953423,0.012904195,-0.225847254,-0.070092725,-0.23714681,-0.129516145,-0.271832367,0.064639869,0.081306922,0.073008119,-0.357774797,0.097700731
YGL156W,0.844804332,0.437043012,0.169839471,-0.291195488,-0.445346168,-0.428816866,-0.235625637,-0.145241576,-0.085343434,-0.157664096,0.024657461,-0.028831224,0.584273249,0.065479456,-0.120850123,-0.222202617,0.035020248
YBR092C,-0.32789879,0.115003845,0.052737456,-0.869623805,-0.92995573,-0.485461278,0.446966491,0.430510424,0.124581628,0.853895269,0.128905025,-0.363963725,-0.715807742,-0.100947782,0.484544057,0.704538762,0.451975894
YCR042C,0.100141038,0.205501553,-0.427926393,-0.673048851,-0.645649876,-0.378446335,0.02009833,0.57706511,0.530923954,0.530923954,0.29026682,-0.082180519,-0.378446335,-0.25531365,0.205501553,0.01545795,0.365131699
YBL023C,-0.746052856,0.06487736,0.330086577,-0.329537912,-0.635704799,-0.245277568,0.122447212,0.631873255,0.720284213,0.301266138,0.241006947,-0.020115853,-0.1130096,-0.563731299,-0.1130096,0.101245004,0.253352782
YBR202W,-0.79149942,0.081773927,-0.340312062,-0.699384131,-0.78276574,-0.550964126,0.13872882,0.66874626,0.641912865,0.745179139,0.383098776,-0.143202805,-0.296589251,-0.357213873,0.159277488,0.652318786,0.490895347
YGL201C,-0.334796901,0.236335329,-0.117073417,-0.479978911,-0.66857008,-0.282153167,0.266412785,0.496936443,0.442542371,0.442542371,0.205325093,0.088525825,-0.495727268,-0.117073417,-0.043742144,0.131822631,0.228672457
YLR274W,-0.105603591,0.120406661,-0.005520132,-0.50629542,-0.450725569,-0.341992369,-0.233002085,0.154180978,0.582747418,0.694099563,0.412848381,0.045123601,-0.159670812,-0.360341507,-0.260552037,0.081491245,0.332805673
YPR019W,-0.268381345,-0.374440917,0.074360504,-0.281039742,-0.225297759,-0.106176931,-0.08501212,0.408917643,0.455728061,0.690992973,0.356446591,-0.446936419,-0.293860431,-0.333339242,0.005048704,-0.014275568,0.437265998
YHR005C,-0.113160309,0.216667385,0.152763583,-0.535320295,-0.812952032,-0.630630475,-0.167595515,0.182765834,0.303281858,0.677702345,0.680700848,0.132250043,-0.20318646,-0.376849954,0.137418014,-0.006476166,0.362621298
YJL071W,0.122799079,-0.157502886,-0.026732655,0.005016043,-0.114330715,0.139328381,-0.059522478,-0.194960449,0.071505784,-0.121397882,-0.039719851,0.122799079,-0.00125357,0.011246593,0.088897527,0.04783604,0.10599196
YOR128C,-0.075807387,-0.008668084,0.066367102,0.301486844,-0.068886944,-0.075807387,-0.118367002,-0.162818764,0.041975649,0.010625119,-0.02834085,-0.170423363,-0.008668084,0.004235321,0.201403385,-0.021740166,0.113434613
YDL215C,0.102915418,0.366677306,-0.152563514,-0.07143797,-0.185979511,0.183237806,0.027407865,0.050664727,0.035220405,-0.288109006,-0.185979511,-0.157269405,-0.111178298,0.069640629,0.117356102,0.046825951,0.152571008
YPL040C,0.137752138,-0.140268024,-0.234296974,-0.078136243,-0.078136243,0.056900041,-0.16624351,0.056900041,0.035622642,0.077734128,0.024811726,-0.153171429,0.166462243,-0.090257603,0.077734128,0.067371341,0.239221598
YPR051W,-0.168788662,0.152272633,0.117587075,-0.016504699,-0.067090196,0.052787082,0.00785974,-0.007576068,-0.108010465,0.227056783,-0.055366732,-0.046085923,-0.130371646,0.135080232,-0.098230436,0.042271738,-0.036890456
YPR073C,0.081114217,0.039871259,0.054500569,-0.175408556,0.087156532,0.060705346,0.01859386,0.007782944,-0.109728389,-0.011976206,0.009954498,-0.036668819,-0.172800993,0.132306496,0.083132381,-0.271241066,0.202705928
YGR202C,-0.014111009,-0.024161345,0.005691618,-0.039428817,0.020290418,0.010581604,-0.060154947,0.015447793,0.076643354,0.072066687,-0.130644825,0.076643354,0.058209653,0.044157899,-0.159136781,-0.024161345,0.072066687
YNR008W,0.190278502,0.039618227,-0.20302312,-0.229271346,-0.109127034,-0.03636768,0.002346832,0.102631195,-0.072085762,-0.006127795,-0.18250958,0.027348135,-0.018975937,0.051739588,-0.014674855,0.363232309,0.094968322
YBL033C,0.142966463,-0.172011421,-0.03324566,-0.149368945,-0.070475002,-0.168201893,-0.116338419,-0.056776158,-0.023328224,0.181222494,-0.084364114,-0.123584828,-0.023328224,-0.087866745,0.17314708,0.316428088,0.295125507
YOR241W,-0.169330007,-0.092957028,0.025759279,0.101198986,0.016387139,0.033194257,0.04607392,0.023891865,-0.049784856,-0.059896166,-0.043766784,0.022020957,0.020146542,-0.049784856,-0.010332008,0.17456521,0.01261355
YOR278W,0.116263029,-0.029690883,0.030373358,-0.140356451,-0.200648681,-0.124524986,-0.05867842,0.034847638,-0.044079621,-0.21201244,-0.088531383,0.09547226,0.030373358,0.0827871,0.187721993,0.140654483,0.180029648
YLR005W,0.061668991,-0.065453017,0.057747417,0.088697663,0.05183607,-0.120261253,0.10569524,-0.160985443,0.075274643,-0.180739172,0.023778117,0.088697663,0.063624026,-0.108592509,0.04389952,-0.009282745,-0.015605211
YML098W,-0.009590137,0.026847259,0.000128112,-0.043357,-0.163415349,0.005914049,0.111659106,-0.172568731,-0.170272519,0.074650478,-0.029314643,-0.013504037,-0.105877357,0.144002351,0.196216494,0.140646643,0.007835279
YOR249C,0.104638088,0.000959659,-0.11472474,-0.203452856,-0.224286943,-0.096032607,0.009327908,0.119675965,0.050149903,-0.077683469,0.034020521,0.212268752,-0.0159899,-0.041965386,0.127110944,0.073866429,0.042117731
YGL058W,-0.029245261,0.194414953,0.033353396,-0.170558794,0.030923261,0.023597221,-0.060743928,-0.055424766,-0.0877726,-0.129736799,-0.176528961,-0.008784189,0.045416268,0.126012226,-0.107136967,0.19027416,0.181940779
YDR498C,-0.098635044,-0.134295224,-0.076586907,0.185058192,0.185058192,0.163239145,-0.260779372,-0.202581132,-0.033897498,0.054605303,-0.070375707,-0.147584457,-0.134295224,0.16812913,0.035294359,0.192226681,0.175419563
YLR268W,-0.097689295,-0.203939095,0.046584194,-0.055396383,0.018492459,-0.046236014,0.20625975,-0.153624927,0.01563939,-0.080242382,-0.078671289,-0.072411488,0.046584194,0.035442017,0.05073071,0.243343953,0.125134205
